"日本文","英文"
"お名前を伺ってもよろしいですか？","May I have your name, please?"
"ご予約はありますか？","Do you have a reservation?"
"パスポートを拝見してもよろしいですか？","May I see your passport, please?"
"こちらの宿泊登録カードにご記入いただけますか？","Could you fill out this registration card, please?"
"何泊ご滞在ですか？","How many nights will you be staying?"
"2名様でのご予約ですね。","Your reservation is for two guests."
"禁煙のお部屋をご用意しております。","We have prepared a non-smoking room for you."
"お部屋は12階です。","Your room is on the twelfth floor."
"こちらがルームキーです。","Here is your room key."
"朝食は6時30分から10時までです。","Breakfast is served from 6:30 a.m. to 10 a.m."
"朝食会場は2階のレストランです。","Breakfast is served in the restaurant on the second floor."
"チェックアウトは午前11時です。","Check-out is at 11 a.m."
"お荷物をお運びしましょうか？","Would you like some help with your luggage?"
"明日の朝、モーニングコールはいかがですか？","Would you like a wake-up call tomorrow morning?"
"追加料金の保証のため、クレジットカードをお預かりしてもよろしいですか？","May I have a credit card for incidentals?"
"申し訳ございません。お部屋はまだ準備ができておりません。","I'm sorry, your room is not ready yet."
"お部屋の準備ができるまで、お荷物をお預かりできます。","We can store your luggage until your room is ready."
"追加料金でお部屋のアップグレードが可能です。","We can offer you an upgrade for an additional charge."
"ホテル館内では無料Wi-Fiをご利用いただけます。","Free Wi-Fi is available throughout the hotel."
"何かございましたらフロントまでご連絡ください。","If you need any assistance, please contact the front desk."
"お部屋番号を教えていただけますか？","May I have your room number?"
"ご滞在はいかがでしたか？","How was your stay?"
"ミニバーはご利用になりましたか？","Did you use the minibar?"
"こちらがご請求書です。","Here is your bill."
"ご請求内容をご確認ください。","Please review the charges on your bill."
"現金とカードのどちらでお支払いになりますか？","Would you like to pay by cash or card?"
"こちらにご署名をお願いします。","Could you sign here?"
"こちらが領収書です。","Here is your receipt."
"追加料金はございません。","There are no additional charges."
"ご出発までお荷物をお預かりしましょうか？","Would you like us to store your luggage until your departure?"
"タクシーをお呼びしましょうか？","Shall I call a taxi for you?"
"空港行きのバスをご利用になりますか？","Would you like to take the airport bus?"
"レイトチェックアウトには追加料金がかかります。","Late check-out requires an additional charge."
"ルームキーをご返却いただけますか？","Could you return your room key?"
"ご宿泊いただき、ありがとうございました。","Thank you for staying with us."
"何かお手伝いできますか？","How may I help you?"
"どちらへお出かけですか？","Where are you going?"
"エレベーターはロビーの奥にございます。","The elevators are at the end of the lobby."
"レストランは2階にございます。","The restaurant is on the second floor."
"バーはロビーの隣です。","The bar is next to the lobby."
"レストランは午前6時30分に開店します。","The restaurant opens at 6:30 a.m."
"最寄り駅までは徒歩約5分です。","The nearest station is about five minutes on foot."
"まっすぐ進み、最初の角を右に曲がってください。","Go straight and turn right at the first corner."
"道を渡ると、左手に駅があります。","Cross the street and you will see the station on your left."
"タクシー乗り場はホテルの正面にあります。","The taxi stand is in front of the hotel."
"空港バスは正面玄関から出発します。","The airport bus departs from the main entrance."
"コンビニはホテルの向かい側です。","There is a convenience store across from the hotel."
"コンビニの中にATMがあります。","There is an ATM inside the convenience store."
"薬局はホテルから徒歩3分ほどです。","The pharmacy is about three minutes' walk from the hotel."
"近くの寿司店をおすすめできます。","I can recommend a sushi restaurant nearby."
"レストランを予約いたしましょうか？","Shall I make a reservation for you?"
"地図に行き方を印しますね。","Let me mark the route on the map."
"その博物館は月曜日は休館です。","The museum is closed on Mondays."
"最終電車は午後11時45分です。","The last train leaves at 11:45 p.m."
"お荷物をお部屋までお持ちします。","I'll take your luggage to your room."
"こちらへどうぞ。","Please come this way."
"照明をつけるにはカードキーをこちらに差し込んでください。","To turn on the lights, please insert your key card here."
"セーフティボックスはクローゼットの中にあります。","The safe is in the closet."
